DEPLOYMENT_PHASE,TASK_ID,TASK_NAME,DESCRIPTION,ESTIMATED_TIME,STATUS,PRIORITY,COMPLETED_BY,NOTES
Pre-Deployment,PRE-001,Verify ZIP integrity,Check ADRION-systray-1.0.0.zip is not corrupted (file size 29MB),5 min,not-started,CRITICAL,,
Pre-Deployment,PRE-002,Verify EXE exists,Check uap_systray.exe present (30.7 MB),2 min,not-started,CRITICAL,,
Pre-Deployment,PRE-003,Verify Launcher exists,Check uap_launcher.ps1 present,2 min,not-started,CRITICAL,,
Pre-Deployment,PRE-004,Windows version check,Verify Windows 10 (build 19041+) or Windows 11,3 min,not-started,CRITICAL,,
Pre-Deployment,PRE-005,Check free ports 8002/8003,netstat -ano | findstr :8002 && netstat -ano | findstr :8003,3 min,not-started,CRITICAL,,
Pre-Deployment,PRE-006,Check system memory,Verify at least 1GB free RAM available,2 min,not-started,HIGH,,
Pre-Deployment,PRE-007,Check disk space,Verify at least 500MB free disk space,2 min,not-started,HIGH,,
Pre-Deployment,PRE-008,PowerShell version check,Verify PowerShell 5.1+,2 min,not-started,HIGH,,
Installation,INST-001,Extract ZIP,Use Expand-Archive or Explorer to extract ZIP,5 min,not-started,CRITICAL,,
Installation,INST-002,Verify extract contents,Check EXE and PS1 files present after extraction,2 min,not-started,CRITICAL,,
Installation,INST-003,Optional: Copy to Program Files,Copy to C:\Program Files\ADRION-systray\ if desired,5 min,not-started,OPTIONAL,,
Installation,INST-004,Optional: Create desktop shortcut,Create shortcut to uap_systray.exe on desktop,2 min,not-started,OPTIONAL,,
Installation,INST-005,Optional: Add to Startup,Copy UAPsystray shortcut to Windows Startup folder,2 min,not-started,OPTIONAL,,
Launch,LAUNCH-001,Double-click EXE,Execute uap_systray.exe,1 min,not-started,CRITICAL,,
Launch,LAUNCH-002,Wait for icon appearance,Wait 3-5 seconds for icon to appear in system tray,5 sec,not-started,CRITICAL,,
Launch,LAUNCH-003,Verify icon is green,Icon should be solid green circle (not orange/red),1 min,not-started,CRITICAL,,
Launch,LAUNCH-004,Verify no error dialogs,Check that no error/exception dialogs appeared,2 min,not-started,CRITICAL,,
Menu,MENU-001,Right-click on tray icon,Right-click should show menu with 3 options,2 min,not-started,CRITICAL,,
Menu,MENU-002,Verify menu options exist,"Menu should show: 'Open UAP', 'Status', 'Quit'",1 min,not-started,CRITICAL,,
Menu,MENU-003,Click 'Open UAP',"Should open browser to http://localhost:8003",5 min,not-started,CRITICAL,,
Menu,MENU-004,Click 'Status',"Should show notification: 'Backend: Healthy' (green icon)",2 min,not-started,CRITICAL,,
Dashboard,DASH-001,Verify dashboard loads,Browser should load without errors at http://localhost:8003,3 min,not-started,CRITICAL,,
Dashboard,DASH-002,Verify main UI elements,Check for logo ADRION 369 and navigation menu,1 min,not-started,CRITICAL,,
Dashboard,DASH-003,Check Agents page,Click 'Agents' - should show table with 4 agents (Librarian 95% trust),2 min,not-started,HIGH,,
Dashboard,DASH-004,Check Tasks page,Click 'Tasks' - should show table (may be empty on first run),2 min,not-started,HIGH,,
Dashboard,DASH-005,Check Genesis Log page,Click 'Genesis Log' - should show event history,2 min,not-started,HIGH,,
API,API-001,Test health endpoint,GET http://localhost:8003/mapi/v1/health should return 200,2 min,not-started,CRITICAL,,
API,API-002,Test agents endpoint,GET http://localhost:8003/mapi/v1/agents should return list of 4 agents,2 min,not-started,CRITICAL,,
API,API-003,Test tasks endpoint,GET http://localhost:8003/mapi/v1/tasks should return task list,2 min,not-started,CRITICAL,,
Performance,PERF-001,Check memory usage,System tray + backend should use <200MB RAM idle,2 min,not-started,HIGH,,
Performance,PERF-002,Check CPU usage,CPU should be <5% idle,2 min,not-started,HIGH,,
Performance,PERF-003,Check response times,Dashboard should load within 2 seconds,2 min,not-started,HIGH,,
Shutdown,SHUT-001,Click 'Quit' in menu,Right-click > Quit option,2 min,not-started,CRITICAL,,
Shutdown,SHUT-002,Verify tray icon disappears,Icon should vanish from system tray within 2 seconds,2 min,not-started,CRITICAL,,
Shutdown,SHUT-003,Verify port cleanup,netstat -ano | findstr :8002 should show NO LISTENING,2 min,not-started,CRITICAL,,
Shutdown,SHUT-004,Check no orphaned processes,Get-Process -Name python* should show no UAP processes,2 min,not-started,CRITICAL,,
Restart,RESTART-001,Re-launch EXE,Double-click uap_systray.exe again,2 min,not-started,HIGH,,
Restart,RESTART-002,Verify restart works,Should behave identically to first launch,2 min,not-started,HIGH,,
Restart,RESTART-003,Repeat dashboard tests,Verify dashboard loads and responds normally,3 min,not-started,HIGH,,
Security,SEC-001,Check localhost binding,Verify backend only listens to 127.0.0.1 (not 0.0.0.0),3 min,not-started,MEDIUM,,
Security,SEC-002,Verify no network exposure,Use netstat to confirm ports are local-only,2 min,not-started,MEDIUM,,
Security,SEC-003,Check file permissions,Verify uap_systray.exe is executable and not world-readable,2 min,not-started,MEDIUM,,
Logging,LOG-001,Check log files,Verify logs/ folder contains timestamped entries,2 min,not-started,OPTIONAL,,
Logging,LOG-002,Check event log,Get-EventLog -LogName Application -Newest 5 for UAP entries,2 min,not-started,OPTIONAL,,
Documentation,DOC-001,Generate QA report,Fill in DEPLOYMENT_TODO_SYSTRAY_LOCAL.md Section 13 template,5 min,not-started,HIGH,,
Documentation,DOC-002,Document issues found,List any bugs/problems discovered during testing,5 min,not-started,HIGH,,
Documentation,DOC-003,Create notes for Faza 2,Document learnings for Electron refactor,10 min,not-started,MEDIUM,,
Post-Deployment,POST-001,Git add & commit,git add uap/desktop/ && git commit -m 'Faza 1 QA Pass',5 min,not-started,HIGH,,
Post-Deployment,POST-002,Create git tag,git tag -a v1.0.0-systray -m 'release notes',2 min,not-started,HIGH,,
Post-Deployment,POST-003,Generate release notes,Create RELEASE_NOTES_v1.0.0.md for distribution,10 min,not-started,MEDIUM,,
Post-Deployment,POST-004,Upload to GitHub,git push origin feature/systray-mvp --tags,3 min,not-started,MEDIUM,,
Go-No-Go,GONGO-001,TIER 0 Check - All 9 critical tests pass?,If ALL Tier 0 tests pass -> GO else FAIL,2 min,not-started,CRITICAL,,
Go-No-Go,GONGO-002,TIER 1 Check - Most functional tests pass?,If 4/5 Tier 1 tests pass -> CONDITIONAL else FAIL,2 min,not-started,HIGH,,
Go-No-Go,GONGO-003,TIER 2 Check - Optional tests?,If any Tier 2 tests pass -> BONUS else OK,2 min,not-started,OPTIONAL,,
Go-No-Go,GONGO-004,Overall Decision,Compile results -> GO (all tiers) / CONDITIONAL (T0+T1) / NO-GO (T0 fails),5 min,not-started,CRITICAL,,
Next-Phase,NEXT-001,Start Faza 2 planning,Begin Electron refactor design (if QA=GO),30 min,not-started,MEDIUM,,
Next-Phase,NEXT-002,Create Electron boilerplate,Setup Node.js + React project structure,60 min,not-started,MEDIUM,,
Next-Phase,NEXT-003,Migrate dashboard component,Port existing dashboard to React component,120 min,not-started,MEDIUM,,
